죄종별,기간별,항목,단위,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
기타약취·유인,3개월이내,범죄,건,23,20,15,23,,,,,,,,,,,,,,,,,
기타약취·유인,3개월초과,범죄,건,47,60,22,40,,,,,,,,,,,,,,,,,
협박,계,범죄,건,562,531,613,643,,,,,,,,,,,,,,,,,
협박,1시간이내,범죄,건,46,35,51,47,,,,,,,,,,,,,,,,,
협박,2시간이내,범죄,건,6,4,2,6,,,,,,,,,,,,,,,,,
협박,5시간이내,범죄,건,5,2,2,4,,,,,,,,,,,,,,,,,
협박,12시간이내,범죄,건,6,6,7,4,,,,,,,,,,,,,,,,,
협박,24시간이내,범죄,건,31,27,25,29,,,,,,,,,,,,,,,,,
협박,2일이내,범죄,건,33,22,26,18,,,,,,,,,,,,,,,,,
협박,5일이내,범죄,건,59,53,38,65,,,,,,,,,,,,,,,,,
협박,10일이내,범죄,건,43,31,46,49,,,,,,,,,,,,,,,,,
협박,1개월이내,범죄,건,110,94,119,117,,,,,,,,,,,,,,,,,
협박,3개월이내,범죄,건,72,98,116,124,,,,,,,,,,,,,,,,,
협박,3개월초과,범죄,건,151,159,181,180,,,,,,,,,,,,,,,,,
공갈,계,범죄,건,1280,842,938,1129,,,,,,,,,,,,,,,,,
공갈,1시간이내,범죄,건,136,89,102,115,,,,,,,,,,,,,,,,,
공갈,2시간이내,범죄,건,29,17,23,14,,,,,,,,,,,,,,,,,
공갈,5시간이내,범죄,건,21,16,15,17,,,,,,,,,,,,,,,,,
공갈,12시간이내,범죄,건,21,26,20,16,,,,,,,,,,,,,,,,,
공갈,24시간이내,범죄,건,69,64,39,55,,,,,,,,,,,,,,,,,
공갈,2일이내,범죄,건,68,47,47,40,,,,,,,,,,,,,,,,,
공갈,5일이내,범죄,건,84,55,57,84,,,,,,,,,,,,,,,,,
공갈,10일이내,범죄,건,54,40,43,67,,,,,,,,,,,,,,,,,
공갈,1개월이내,범죄,건,150,98,117,158,,,,,,,,,,,,,,,,,
